,OBJECTID,DISTRICT,DISTRICTN,Shape__Area,Shape__Length,district,name,party,town,title,county,first,last
48,49.0,49,49.0,0.0588524918607618,1.39381374144607,49,Allison Hepler,D,Woolwich,Rep,,Allison,Hepler
49,50.0,50,50.0,0.00383721944785975,0.353629693472148,50,Sean C. Paulhus,D,Bath,Rep,,Sean,Paulhus
50,51.0,51,51.0,0.00780897736262887,0.42213584982082,51,Rebecca L. Jauch,D,Topsham,Rep,,Rebecca,Jauch
51,52.0,52,52.0,0.0304497269771673,0.848152541272742,52,Sally Jeane Cluchey,D,Bowdoinham,Rep,,Sally,Cluchey
52,53.0,53,53.0,0.0258943863029799,0.830979998572041,53,Michael H. Lemelin,R,Chelsea,Rep,,Michael,Lemelin
53,54.0,54,54.0,0.00820046506669314,0.571085172483151,54,Karen L. Montell,D,Gardiner,Rep,,Karen,Montell
54,55.0,55,55.0,0.0162831056031791,0.981113187456381,55,Daniel Joseph Shagoury,D,Hallowell,Rep,,Daniel,Shagoury
55,56.0,56,56.0,0.0278512689924355,0.831200311793265,56,Randall Adam Greenwood,R,Wales,Rep,,Randall,Greenwood
56,57.0,57,57.0,0.0201257769479071,0.631812065495609,57,Tavis Rock Hasenfus,D,Readfield,Rep,,Tavis,Hasenfus
57,58.0,58,58.0,0.0694611096212157,1.56695193425176,58,Daniel J. Newman,R,Belgrade,Rep,,Daniel,Newman
58,59.0,59,59.0,0.00591644118662771,0.361608133582715,59,Raegan French LaRochelle,D,Augusta,Rep,,Raegan,LaRochelle
59,60.0,60,60.0,0.0110446089431662,0.441803068237328,60,William R. Bridgeo,D,Augusta,Rep,,William,Bridgeo
60,61.0,61,61.0,0.0264656214847037,0.787180554341935,61,Richard T. Bradstreet,R,Vassalboro,Rep,,Richard,Bradstreet
61,62.0,62,62.0,0.0466453374001503,1.05726691491158,62,Katrina J. Smith,R,Palermo,Rep,,Katrina,Smith
62,63.0,63,63.0,0.032156995383275,1.19158704220631,63,Scott Wynn Cyrway,R,Albion,Rep,,Scott,Cyrway
63,64.0,64,64.0,0.00197468841452064,0.280807645016577,64,Colleen M. Madigan,D,Waterville,Rep,,Colleen,Madigan
64,65.0,65,65.0,0.00245679222211947,0.233585462557881,65,Bruce A. White,D,Waterville,Rep,,Bruce,White
65,66.0,66,66.0,0.0338648792205731,1.36027935545719,66,Robert W. Nutting,R,Oakland,Rep,,Robert,Nutting
66,67.0,67,67.0,0.0245665720594843,0.859614033484606,67,Shelley Rudnicki,R,Fairfield,Rep,,Shelley,Rudnicki
67,68.0,68,68.0,0.0501884943762434,1.36715142753933,68,Amanda N. Collamore,R,Pittsfield,Rep,,Amanda,Collamore
68,69.0,69,69.0,0.0572054332574226,1.56954935915217,69,Dean A. Cray,R,Palmyra,Rep,,Dean,Cray
69,70.0,70,70.0,0.0177966540234138,0.629351898283837,70,Jennifer L. Poirier,R,Skowhegan,Rep,,Jennifer,Poirier
70,71.0,71,71.0,0.0432957632467605,1.16035768848762,71,"John ""Jack"" E. Ducharme",R,Madison,Rep,,John,Ducharme
71,72.0,72,72.0,0.729729762772649,8.57724179912541,72,Larry C. Dunphy,R,Embden,Rep,,Larry,Dunphy
72,73.0,73,73.0,0.892160847745799,6.02183209051865,73,Michael Soboleski,R,Phillips,Rep,,Michael,Soboleski
73,74.0,74,74.0,0.108721631753269,2.13001381812507,74,Randall C. Hall,R,Wilton,Rep,,Randall,Hall
74,75.0,75,75.0,0.0274240507301329,0.927815370460368,75,H. Scott Landry,D,Farmington,Rep,,H.,Landry
75,76.0,76,76.0,0.0296999023132685,0.918008867982712,76,Sheila A. Lyman,R,Livermore Falls,Rep,,Sheila,Lyman
76,77.0,77,77.0,0.057439516720251,1.46464233479668,77,Tammy L. Schmersal-Burgess,R,Burgess (R,Rep,,Tammy,Schmersal-Burgess
77,78.0,78,78.0,0.0747811394119253,1.66592362877086,78,Rachel A. Henderson,R,Rumford,Rep,,Rachel,Henderson
78,79.0,79,79.0,0.0459215818605117,1.23757518778172,79,John Andrews,R,Paris,Rep,,John,Andrews
79,80.0,80,80.0,0.042676524815306,1.34697887296421,80,Caldwell Jackson,R,Oxford,Rep,,Caldwell,Jackson
80,81.0,81,81.0,0.0963061240290699,1.8697859597833,81,H. Sawin Millett,R,Waterford,Rep,,H.,Millett
81,82.0,82,82.0,0.067113937214117,1.8166069040805,82,Caleb Joshua Ness,R,Fryeburg,Rep,,Caleb,Ness
82,83.0,83,83.0,0.043904165019967,1.22028427863239,83,Walter N. Riseman,I,Harrison,Rep,,Walter,Riseman
83,84.0,84,84.0,0.0400220606090897,1.36840251778708,84,Mark Walker,R,Naples,Rep,,Mark,Walker
84,85.0,85,85.0,0.0188626217122874,1.02040208604421,85,Kimberly J. Pomerleau,R,Standish,Rep,,Kimberly,Pomerleau
85,86.0,86,86.0,0.0261990236660949,0.957188643257196,86,Jessica L. Fay,D,Raymond,Rep,,Jessica,Fay
86,87.0,87,87.0,0.0152655606993903,0.60876091383044,87,David W. Boyer,R,Poland,Rep,,David,Boyer
87,88.0,88,88.0,0.0107793329027572,0.524297215606734,88,Kathy A. Shaw,D,Auburn,Rep,,Kathy,Shaw
88,89.0,89,89.0,0.000552991365111666,0.147100697047259,89,Adam R. Lee,D,Auburn,Rep,,Adam,Lee
89,90.0,90,90.0,0.0164698471799056,0.693387543415424,90,Laurel D. Libby,R,Auburn,Rep,,Laurel,Libby
90,91.0,91,91.0,0.0384799828318592,1.03837339899216,91,Joshua Morris,R,Turner,Rep,,Joshua,Morris
91,92.0,92,92.0,0.0180923387320036,0.732317510650054,92,Stephen J. Wood,R,Greene,Rep,,Stephen,Wood
92,93.0,93,93.0,0.001752164317395,0.215844134623861,93,Margaret Craven,D,Lewiston,Rep,,Margaret,Craven
93,94.0,94,94.0,0.00154016872033935,0.24866717020423,94,Leader Kristen Cloutier,D,Lewiston,Rep,,Leader,Cloutier
94,95.0,95,95.0,0.000831862588711374,0.172491653225769,95,Mana H. Abdi,D,Lewiston,Rep,,Mana,Abdi
95,96.0,96,96.0,0.00621871317298428,0.371339316252683,96,Michel A. Lajoie,D,Lewiston,Rep,,Michel,Lajoie
96,97.0,97,97.0,0.00651642336697478,0.403434907724659,97,Richard G. Mason,R,Lisbon,Rep,,Richard,Mason
97,98.0,98,98.0,0.0248208153473115,1.07791061680825,98,Joseph C. Galletta,R,Durham,Rep,,Joseph,Galletta
98,99.0,99,99.0,0.040916346607446,1.0356972892466,99,Cheryl A. Golek,D,Harpswell,Rep,,Cheryl,Golek
99,100.0,100,100.0,0.00388753563242972,0.457480921840616,100,Daniel J. Ankeles,D,Brunswick,Rep,,Daniel,Ankeles
100,101.0,101,101.0,0.00790866121838008,0.402456571000708,101,Poppy Arford,D,Brunswick,Rep,,Poppy,Arford
101,102.0,102,102.0,0.0134706021221973,0.544172611586666,102,Melanie F. Sachs,D,Freeport,Rep,,Melanie,Sachs
102,103.0,103,103.0,0.00664530786298201,0.473526106037623,103,Arthur L. Bell,D,Yarmouth,Rep,,Arthur,Bell
103,104.0,104,104.0,0.0200149445004172,0.80859620414027,104,Leader Amy Bradstreet Arata,R,New Gloucester,Rep,,Leader,Arata
104,105.0,105,105.0,0.0134204615742419,0.69132115698323,105,Anne P. Graham,D,North Yarmouth,Rep,,Anne,Graham
105,106.0,106,106.0,0.0076706411887244,0.490911996487566,106,Barbara A. Bagshaw,R,Windham,Rep,,Barbara,Bagshaw
106,107.0,107,107.0,0.00685518561112985,0.427679820498359,107,Jane P. Pringle,D,Windham,Rep,,Jane,Pringle
107,108.0,108,108.0,0.00779568178768386,0.46795995493057,108,Maureen Fitzgerald Terry,D,Gorham,Rep,,Maureen,Terry
108,109.0,109,109.0,0.00702704105606244,0.535443918413087,109,James A. Boyle,D,Gorham,Rep,,James,Boyle
